name,Model_Name,config,hardware_utilization,total_latency,fps,total_dynamic_energy,total_static_power,Total Power,area,fps_per_w,fps_per_area,fps_per_w_per_area
PIXEL_EO_1,MobileNet_V2,"{'element_size': 4, 'element_count': 4, 'units_count': 200, 'reconfig': [], 'vdp_type': 'PIXEL_EO', 'name': 'PIXEL_EO_1', 'precision': 4, 'bitrate': 1}",100,0.004119293,242.7601047,2694.807621,18.18888,654209.9692,1623.6869,0.000371074,0.149511648,2.29E-07
PIXEL_EO_1,ShuffleNet_V2,"{'element_size': 4, 'element_count': 4, 'units_count': 200, 'reconfig': [], 'vdp_type': 'PIXEL_EO', 'name': 'PIXEL_EO_1', 'precision': 4, 'bitrate': 1}",100,0.008484,117.8689298,3959.111535,18.18888,466674.4283,1623.6869,0.000252572,0.072593386,1.56E-07
PIXEL_EO_1,GoogLeNet,"{'element_size': 4, 'element_count': 4, 'units_count': 200, 'reconfig': [], 'vdp_type': 'PIXEL_EO', 'name': 'PIXEL_EO_1', 'precision': 4, 'bitrate': 1}",,0.075502669,13.24456,9618.23274,18.18888,18.18888,1623.69,0.00010395,0.00815709,6.40E-08
PIXEL_EO_1,ResNet50,"{'element_size': 4, 'element_count': 4, 'units_count': 200, 'reconfig': [], 'vdp_type': 'PIXEL_EO', 'name': 'PIXEL_EO_1', 'precision': 4, 'bitrate': 1}",,0.14578821,6.85927,28870.41323,18.18888,18.18888,1623.69,3.46E-05,0.0042245,2.13E-08
PIXEL_OO_1,GoogLeNet,"{'element_size': 4, 'element_count': 4, 'units_count': 200, 'reconfig': [], 'vdp_type': 'PIXEL_OO', 'name': 'PIXEL_OO_1', 'precision': 4, 'bitrate': 1}",,0.075502669,13.24456,9618.23274,18.18888,18.18888,1692.55,0.00010395,0.0078252,6.14E-08
PIXEL_OO_1,ResNet50,"{'element_size': 4, 'element_count': 4, 'units_count': 200, 'reconfig': [], 'vdp_type': 'PIXEL_OO', 'name': 'PIXEL_OO_1', 'precision': 4, 'bitrate': 1}",,0.14578821,6.85927,28870.41323,18.18888,18.18888,1692.55,3.46E-05,0.00405262,2.05E-08
PIXEL_OO_1,MobileNet_V2,"{'element_size': 4, 'element_count': 4, 'units_count': 200, 'reconfig': [], 'vdp_type': 'PIXEL_OO', 'name': 'PIXEL_OO_1', 'precision': 4, 'bitrate': 1}",100,0.004119293,242.7601047,2694.807575,18.18888,654209.958,1692.5509,0.000371074,0.14342854,2.19E-07
PIXEL_OO_1,ShuffleNet_V2,"{'element_size': 4, 'element_count': 4, 'units_count': 200, 'reconfig': [], 'vdp_type': 'PIXEL_OO', 'name': 'PIXEL_OO_1', 'precision': 4, 'bitrate': 1}",100,0.008484,117.8689298,3959.111468,18.18888,466674.4203,1692.5509,0.000252572,0.069639814,1.49E-07
DEAPCNN_1,MobileNet_V2,"{'element_size': 15, 'element_count': 15, 'units_count': 200, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_1', 'precision': 4, 'bitrate': 1}",97.16607201,0.000457474,2185.916577,227.7137936,18979.19475,516742.5508,6044.756214,0.004230185,0.361621958,7.00E-07
DEAPCNN_1,ShuffleNet_V2,"{'element_size': 15, 'element_count': 15, 'units_count': 200, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_1', 'precision': 4, 'bitrate': 1}",99.60126304,0.001185449,843.5622283,563.7722774,18979.19475,494556.1934,6044.756214,0.001705695,0.139552729,2.82E-07
DEAPCNN_1,GoogLeNet,"{'element_size': 15, 'element_count': 15, 'units_count': 200, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_1', 'precision': 4, 'bitrate': 1}",97.16607201,0.004947838,202.1085,993.27548,18979.19475,18979.19475,6044.76,0.00091972,0.03343534,1.52E-07
DEAPCNN_1,ResNet50,"{'element_size': 15, 'element_count': 15, 'units_count': 200, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_1', 'precision': 4, 'bitrate': 1}",99.60126304,0.013835718,72.2767,3041.637,18979.19475,18979.19475,6044.76,0.00030261,0.01195693,5.01E-08
PIXEL_EO_5,MobileNet_V2,"{'element_size': 4, 'element_count': 4, 'units_count': 100, 'reconfig': [], 'vdp_type': 'PIXEL_EO', 'name': 'PIXEL_EO_5', 'precision': 4, 'bitrate': 5}",100,0.001053931,948.8285383,2694.871636,9.09444,2556980.21,8603.61945,0.000371074,0.110282486,4.31E-08
PIXEL_EO_5,ShuffleNet_V2,"{'element_size': 4, 'element_count': 4, 'units_count': 100, 'reconfig': [], 'vdp_type': 'PIXEL_EO', 'name': 'PIXEL_EO_5', 'precision': 4, 'bitrate': 5}",100,0.002371648,421.6477674,3959.187004,9.09444,1669391.456,8603.61945,0.000252576,0.049008184,2.94E-08
PIXEL_EO_5,GoogLeNet,"{'element_size': 4, 'element_count': 4, 'units_count': 100, 'reconfig': [], 'vdp_type': 'PIXEL_EO', 'name': 'PIXEL_EO_5', 'precision': 4, 'bitrate': 5}",,0.022321112,44.80063,9618.23274,9.09444,9.09444,8603.62,0.00010396,0.00520718,1.21E-08
PIXEL_EO_5,ResNet50,"{'element_size': 4, 'element_count': 4, 'units_count': 100, 'reconfig': [], 'vdp_type': 'PIXEL_EO', 'name': 'PIXEL_EO_5', 'precision': 4, 'bitrate': 5}",,0.04348722,22.99526,28870.41323,9.09444,9.09444,8603.62,3.46E-05,0.00267274,4.03E-09
PIXEL_OO_5,GoogLeNet,"{'element_size': 4, 'element_count': 4, 'units_count': 100, 'reconfig': [], 'vdp_type': 'PIXEL_OO', 'name': 'PIXEL_OO_5', 'precision': 4, 'bitrate': 5}",,0.022321112,44.80064,9618.23274,9.09444,9.09444,8638.05,0.00010396,0.00518642,1.20E-08
PIXEL_OO_5,ResNet50,"{'element_size': 4, 'element_count': 4, 'units_count': 100, 'reconfig': [], 'vdp_type': 'PIXEL_OO', 'name': 'PIXEL_OO_5', 'precision': 4, 'bitrate': 5}",,0.04348722,22.99526,28870.41323,9.09444,9.09444,8638.05,3.46E-05,0.00266209,4.01E-09
PIXEL_OO_5,MobileNet_V2,"{'element_size': 4, 'element_count': 4, 'units_count': 100, 'reconfig': [], 'vdp_type': 'PIXEL_OO', 'name': 'PIXEL_OO_5', 'precision': 4, 'bitrate': 5}",100,0.001053931,948.8285383,2694.87159,9.09444,2556980.166,8638.05145,0.000371074,0.10984289,4.30E-08
PIXEL_OO_5,ShuffleNet_V2,"{'element_size': 4, 'element_count': 4, 'units_count': 100, 'reconfig': [], 'vdp_type': 'PIXEL_OO', 'name': 'PIXEL_OO_5', 'precision': 4, 'bitrate': 5}",100,0.002371648,421.6477674,3959.186937,9.09444,1669391.427,8638.05145,0.000252576,0.048812834,2.92E-08
HOLYLIGHT_1,GoogLeNet,"{'element_size': 43, 'element_count': 43, 'units_count': 180, 'reconfig': [], 'vdp_type': 'HOLYLIGHT', 'name': 'HOLYLIGHT_1', 'precision': 4, 'bitrate': 1}",,0.000714071,1400.42195,99.21649,63350.66589,63350.66589,15580.59,0.0069205,0.08988245,4.44E-07
HOLYLIGHT_1,ResNet50,"{'element_size': 43, 'element_count': 43, 'units_count': 180, 'reconfig': [], 'vdp_type': 'HOLYLIGHT', 'name': 'HOLYLIGHT_1', 'precision': 4, 'bitrate': 1}",,0.001988747,502.82917,375.29332,63350.66589,63350.66589,15580.59,0.00199416,0.03227279,1.28E-07
HOLYLIGHT_1,MobileNet_V2,"{'element_size': 43, 'element_count': 43, 'units_count': 180, 'reconfig': [], 'vdp_type': 'HOLYLIGHT', 'name': 'HOLYLIGHT_1', 'precision': 4, 'bitrate': 1}",72.91370529,4.23E-05,23637.86786,31.92283112,63350.66589,817938.3297,15580.59359,0.028899328,1.517135258,1.85E-06
HOLYLIGHT_1,ShuffleNet_V2,"{'element_size': 43, 'element_count': 43, 'units_count': 180, 'reconfig': [], 'vdp_type': 'HOLYLIGHT', 'name': 'HOLYLIGHT_1', 'precision': 4, 'bitrate': 1}",93.29771357,0.000104878,9534.888156,40.81046017,63350.66589,452473.8392,15580.59359,0.021072794,0.611972073,1.35E-06
HOLYLIGHT_10,MobileNet_V2,"{'element_size': 17, 'element_count': 17, 'units_count': 9, 'reconfig': [], 'vdp_type': 'HOLYLIGHT', 'name': 'HOLYLIGHT_10', 'precision': 4, 'bitrate': 10}",96.5851572,0.000124572,8027.492557,194.5744236,87235.8796,1649180.617,15926.23999,0.004867564,0.504041918,3.06E-07
HOLYLIGHT_10,ShuffleNet_V2,"{'element_size': 17, 'element_count': 17, 'units_count': 9, 'reconfig': [], 'vdp_type': 'HOLYLIGHT', 'name': 'HOLYLIGHT_10', 'precision': 4, 'bitrate': 10}",99.13237486,0.000198936,5026.737215,280.7941741,87235.8796,1498714.404,15926.23999,0.003354033,0.315626113,2.11E-07
HOLYLIGHT_10,GoogLeNet,"{'element_size': 17, 'element_count': 17, 'units_count': 9, 'reconfig': [], 'vdp_type': 'HOLYLIGHT', 'name': 'HOLYLIGHT_10', 'precision': 4, 'bitrate': 10}",,0.000755796,1323.108,749.51688,87235.8796,87235.8796,15926.24,0.00122261,0.08307723,7.68E-08
HOLYLIGHT_10,ResNet50,"{'element_size': 17, 'element_count': 17, 'units_count': 9, 'reconfig': [], 'vdp_type': 'HOLYLIGHT', 'name': 'HOLYLIGHT_10', 'precision': 4, 'bitrate': 10}",,0.002529082,395.4004,1975.63583,87235.8796,87235.8796,15926.24,0.00045399,0.02482698,2.85E-08
DEAPCNN_5,MobileNet_V2,"{'element_size': 15, 'element_count': 15, 'units_count': 47, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_5', 'precision': 4, 'bitrate': 5}",97.16607201,0.000125003,7999.808005,227.7951693,557779.3608,2380096.98,16083.12503,0.003361127,0.497403831,2.09E-07
DEAPCNN_5,ShuffleNet_V2,"{'element_size': 15, 'element_count': 15, 'units_count': 47, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_5', 'precision': 4, 'bitrate': 5}",99.60126304,0.000305059,3278.056558,563.966308,557779.3608,2406492.815,16083.12503,0.001362172,0.203819628,8.47E-08
DEAPCNN_5,GoogLeNet,"{'element_size': 15, 'element_count': 15, 'units_count': 47, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_5', 'precision': 4, 'bitrate': 5}",,0.001471602,679.5316,993.27548,557779.3608,557779.3608,16083.13,0.0005511,0.04225122,3.43E-08
DEAPCNN_5,ResNet50,"{'element_size': 15, 'element_count': 15, 'units_count': 47, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_5', 'precision': 4, 'bitrate': 5}",,0.0046303,215.96875,3041.637,557779.3608,557779.3608,16083.13,0.00017775,0.01342828,1.11E-08
DEAPCNN_10,GoogLeNet,"{'element_size': 12, 'element_count': 12, 'units_count': 13, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_10', 'precision': 4, 'bitrate': 10}",,0.001432395,698.13165,1448.82898,117024.3995,117024.3995,16295.07,0.00061778,0.04284312,3.79E-08
DEAPCNN_10,ResNet50,"{'element_size': 12, 'element_count': 12, 'units_count': 13, 'reconfig': [], 'vdp_type': 'DEAPCNN', 'name': 'DEAPCNN_10', 'precision': 4, 'bitrate': 10}",,0.004835871,206.788,3974.0034,117024.3995,117024.3995,16295.07,0.00021997,0.01269022,1.35E-08
